date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:33:33	212156/212156	---M--	200	added ('OK')	image/png	date:Tue,%2017%20Jul%202018%2014:37:01%20GMT	http://www.themestarz.net/html/selfer/assets/img/img-work-06.png	D:/Programming/Port/www.themestarz.net/html/selfer/assets/img/img-work-06.png	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
12:33:38	211446/211446	---M--	200	added ('OK')	image/png	date:Tue,%2017%20Jul%202018%2014:37:11%20GMT	http://www.themestarz.net/html/selfer/assets/img/img-work-08.png	D:/Programming/Port/www.themestarz.net/html/selfer/assets/img/img-work-08.png	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
12:33:43	257254/257254	---M--	200	added ('OK')	image/png	date:Tue,%2017%20Jul%202018%2014:37:06%20GMT	http://www.themestarz.net/html/selfer/assets/img/img-work-07.png	D:/Programming/Port/www.themestarz.net/html/selfer/assets/img/img-work-07.png	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
12:33:45	9199/9199	---M--	200	added ('OK')	image/png	date:Tue,%2017%20Jul%202018%2014:37:12%20GMT	http://www.themestarz.net/html/selfer/assets/img/img-work-09.png	D:/Programming/Port/www.themestarz.net/html/selfer/assets/img/img-work-09.png	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
12:33:48	315511/315511	---M--	200	added ('OK')	image/png	date:Tue,%2017%20Jul%202018%2014:36:55%20GMT	http://www.themestarz.net/html/selfer/assets/img/img-work-04.png	D:/Programming/Port/www.themestarz.net/html/selfer/assets/img/img-work-04.png	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
12:33:50	10490/10490	---M--	200	added ('OK')	image/jpeg	date:Tue,%2017%20Jul%202018%2014:37:39%20GMT	http://www.themestarz.net/html/selfer/assets/img/person.jpg	D:/Programming/Port/www.themestarz.net/html/selfer/assets/img/person.jpg	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
12:33:51	33890/33890	---M--	200	added ('OK')	image/jpeg	date:Tue,%2017%20Jul%202018%2014:36:26%20GMT	http://www.themestarz.net/html/selfer/assets/img/bg-man-sitting.jpg	D:/Programming/Port/www.themestarz.net/html/selfer/assets/img/bg-man-sitting.jpg	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
12:33:52	4251/4251	---M--	200	added ('OK')	image/png	date:Tue,%2017%20Jul%202018%2014:37:28%20GMT	http://www.themestarz.net/html/selfer/assets/img/logo-01-w.png	D:/Programming/Port/www.themestarz.net/html/selfer/assets/img/logo-01-w.png	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
12:33:52	10695/10695	---M--	200	added ('OK')	image/jpeg	date:Tue,%2017%20Jul%202018%2014:37:38%20GMT	http://www.themestarz.net/html/selfer/assets/img/person-02.jpg	D:/Programming/Port/www.themestarz.net/html/selfer/assets/img/person-02.jpg	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
12:33:53	3998/3998	---M--	200	added ('OK')	image/png	date:Tue,%2017%20Jul%202018%2014:37:30%20GMT	http://www.themestarz.net/html/selfer/assets/img/logo-02-w.png	D:/Programming/Port/www.themestarz.net/html/selfer/assets/img/logo-02-w.png	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
12:33:53	4344/4344	---M--	200	added ('OK')	image/png	date:Tue,%2017%20Jul%202018%2014:37:32%20GMT	http://www.themestarz.net/html/selfer/assets/img/logo-03-w.png	D:/Programming/Port/www.themestarz.net/html/selfer/assets/img/logo-03-w.png	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
12:33:54	4371/4371	---M--	200	added ('OK')	image/png	date:Tue,%2017%20Jul%202018%2014:37:33%20GMT	http://www.themestarz.net/html/selfer/assets/img/logo-04-w.png	D:/Programming/Port/www.themestarz.net/html/selfer/assets/img/logo-04-w.png	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
12:33:55	4020/4020	---M--	200	added ('OK')	image/png	date:Tue,%2017%20Jul%202018%2014:37:35%20GMT	http://www.themestarz.net/html/selfer/assets/img/logo-05-w.png	D:/Programming/Port/www.themestarz.net/html/selfer/assets/img/logo-05-w.png	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
12:33:55	3898/3898	---M--	200	added ('OK')	image/png	date:Tue,%2017%20Jul%202018%2014:36:43%20GMT	http://www.themestarz.net/html/selfer/assets/img/icon-pin.png	D:/Programming/Port/www.themestarz.net/html/selfer/assets/img/icon-pin.png	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
12:33:56	3947/3947	---M--	200	added ('OK')	image/png	date:Tue,%2017%20Jul%202018%2014:36:41%20GMT	http://www.themestarz.net/html/selfer/assets/img/icon-phone-02.png	D:/Programming/Port/www.themestarz.net/html/selfer/assets/img/icon-phone-02.png	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
12:33:56	3509/3509	---M--	200	added ('OK')	image/png	date:Tue,%2017%20Jul%202018%2014:36:39%20GMT	http://www.themestarz.net/html/selfer/assets/img/icon-envelope.png	D:/Programming/Port/www.themestarz.net/html/selfer/assets/img/icon-envelope.png	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
12:33:56	3760/3760	---M--	200	added ('OK')	image/png	date:Tue,%2017%20Jul%202018%2014:36:44%20GMT	http://www.themestarz.net/html/selfer/assets/img/icon-talk-bubble.png	D:/Programming/Port/www.themestarz.net/html/selfer/assets/img/icon-talk-bubble.png	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
12:33:57	66/66	---M-Z	200	added ('OK')	text/html	date:Sat,%2018%20May%202024%2008:33:55%20GMT	http://www.themestarz.net/html/selfer/assets/php/email.php	D:/Programming/Port/www.themestarz.net/html/selfer/assets/php/email.html	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
12:34:01	21690/21690	---M--	200	added ('OK')	image/jpeg	date:Tue,%2017%20Jul%202018%2014:37:25%20GMT	http://www.themestarz.net/html/selfer/assets/img/img-work-detail-01.jpg	D:/Programming/Port/www.themestarz.net/html/selfer/assets/img/img-work-detail-01.jpg	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
12:34:01	219/219	---M--	200	added ('OK')	application/javascript	date:Tue,%2017%20Jul%202018%2014:37:41%20GMT	http://www.themestarz.net/html/selfer/assets/js/custom.hero.js	D:/Programming/Port/www.themestarz.net/html/selfer/assets/js/custom.hero.js	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
12:34:05	48419/48419	---M--	200	added ('OK')	image/jpeg	date:Tue,%2017%20Jul%202018%2014:37:27%20GMT	http://www.themestarz.net/html/selfer/assets/img/img-work-detail-02.jpg	D:/Programming/Port/www.themestarz.net/html/selfer/assets/img/img-work-detail-02.jpg	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
12:34:09	18994/18994	---M--	200	added ('OK')	application/javascript	date:Tue,%2017%20Jul%202018%2014:37:54%20GMT	http://www.themestarz.net/html/selfer/assets/js/popper.min.js	D:/Programming/Port/www.themestarz.net/html/selfer/assets/js/popper.min.js	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
12:34:09	250018/250018	---M--	200	added ('OK')	image/png	date:Tue,%2017%20Jul%202018%2014:37:17%20GMT	http://www.themestarz.net/html/selfer/assets/img/img-work-10.png	D:/Programming/Port/www.themestarz.net/html/selfer/assets/img/img-work-10.png	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
12:34:12	5594/5594	---M--	200	added ('OK')	application/javascript	date:Tue,%2017%20Jul%202018%2014:37:43%20GMT	http://www.themestarz.net/html/selfer/assets/js/imagesloaded.pkgd.min.js	D:/Programming/Port/www.themestarz.net/html/selfer/assets/js/imagesloaded.pkgd.min.js	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
12:34:13	1761/1761	---M--	200	added ('OK')	application/javascript	date:Tue,%2017%20Jul%202018%2014:37:44%20GMT	http://www.themestarz.net/html/selfer/assets/js/isInViewport.jquery.js	D:/Programming/Port/www.themestarz.net/html/selfer/assets/js/isInViewport.jquery.js	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
12:34:14	86927/86927	---M--	200	added ('OK')	application/javascript	date:Tue,%2017%20Jul%202018%2014:37:46%20GMT	http://www.themestarz.net/html/selfer/assets/js/jquery-3.3.1.min.js	D:/Programming/Port/www.themestarz.net/html/selfer/assets/js/jquery-3.3.1.min.js	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
12:34:16	48903/48903	---M--	200	added ('OK')	application/javascript	date:Tue,%2017%20Jul%202018%2014:34:48%20GMT	http://www.themestarz.net/html/selfer/assets/bootstrap/js/bootstrap.min.js	D:/Programming/Port/www.themestarz.net/html/selfer/assets/bootstrap/js/bootstrap.min.js	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
12:34:17	1079/1079	---M--	200	added ('OK')	application/javascript	date:Tue,%2017%20Jul%202018%2014:37:55%20GMT	http://www.themestarz.net/html/selfer/assets/js/scrolla.jquery.min.js	D:/Programming/Port/www.themestarz.net/html/selfer/assets/js/scrolla.jquery.min.js	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
12:34:17	20947/20947	---M--	200	added ('OK')	application/javascript	date:Tue,%2017%20Jul%202018%2014:37:48%20GMT	http://www.themestarz.net/html/selfer/assets/js/jquery.magnific-popup.min.js	D:/Programming/Port/www.themestarz.net/html/selfer/assets/js/jquery.magnific-popup.min.js	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
12:34:17	2042/2042	---M--	200	added ('OK')	application/javascript	date:Tue,%2017%20Jul%202018%2014:37:47%20GMT	http://www.themestarz.net/html/selfer/assets/js/jquery-validate.bootstrap-tooltip.min.js	D:/Programming/Port/www.themestarz.net/html/selfer/assets/js/jquery-validate.bootstrap-tooltip.min.js	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
12:34:19	10264/10264	---M--	200	added ('OK')	application/javascript	date:Tue,%2017%20Jul%202018%2014:37:52%20GMT	http://www.themestarz.net/html/selfer/assets/js/odometer.min.js	D:/Programming/Port/www.themestarz.net/html/selfer/assets/js/odometer.min.js	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
12:34:20	23261/23261	---M--	200	added ('OK')	application/javascript	date:Tue,%2017%20Jul%202018%2014:37:50%20GMT	http://www.themestarz.net/html/selfer/assets/js/jquery.validate.min.js	D:/Programming/Port/www.themestarz.net/html/selfer/assets/js/jquery.validate.min.js	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
12:34:23	18174/18174	---M--	200	added ('OK')	application/javascript	date:Tue,%2017%20Jul%202018%2014:37:42%20GMT	http://www.themestarz.net/html/selfer/assets/js/custom.js	D:/Programming/Port/www.themestarz.net/html/selfer/assets/js/custom.js	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
12:34:24	42766/42766	---M--	200	added ('OK')	application/javascript	date:Tue,%2017%20Jul%202018%2014:37:53%20GMT	http://www.themestarz.net/html/selfer/assets/js/owl.carousel.min.js	D:/Programming/Port/www.themestarz.net/html/selfer/assets/js/owl.carousel.min.js	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
12:34:28	358307/358307	---M--	200	added ('OK')	image/png	date:Tue,%2017%20Jul%202018%2014:37:24%20GMT	http://www.themestarz.net/html/selfer/assets/img/img-work-11.png	D:/Programming/Port/www.themestarz.net/html/selfer/assets/img/img-work-11.png	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
